,context,question,answer
10,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","president obama in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",President Obama
11,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","268, 000 tweets per minute in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.","268,000 tweets per minute"
12,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","january 2013 in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",January 2013
13,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","nuclear in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",Nuclear
14,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","the american national anthem in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",the American national anthem
15,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","super bowl xlvii halftime show in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",Super Bowl XLVII halftime show
16,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","life is but a dream in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",Life Is But a Dream
17,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","132 beyonce embarked on the mrs. carter show world tour on april 15 in belgrade, serbia ; the tour included 132 dates that ran through to march 2014. it became the most successful tour of her career and one of the most - successful tours of all time. in may, beyonce's cover of amy winehouse's "" back to black "" with andre 3000 on the great gatsby soundtrack was released. she was also honorary chair of the 2013 met gala. beyonce voiced queen tara in the 3d cgi animated film, epic, released by 20th century fox on may 24, and recorded an original song for the film, "" rise up "", co - written with sia.",132
18,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","the mrs. carter show beyonce embarked on the mrs. carter show world tour on april 15 in belgrade, serbia ; the tour included 132 dates that ran through to march 2014. it became the most successful tour of her career and one of the most - successful tours of all time. in may, beyonce's cover of amy winehouse's "" back to black "" with andre 3000 on the great gatsby soundtrack was released. she was also honorary chair of the 2013 met gala. beyonce voiced queen tara in the 3d cgi animated film, epic, released by 20th century fox on may 24, and recorded an original song for the film, "" rise up "", co - written with sia.",The Mrs. Carter Show
19,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","rise up beyonce embarked on the mrs. carter show world tour on april 15 in belgrade, serbia ; the tour included 132 dates that ran through to march 2014. it became the most successful tour of her career and one of the most - successful tours of all time. in may, beyonce's cover of amy winehouse's "" back to black "" with andre 3000 on the great gatsby soundtrack was released. she was also honorary chair of the 2013 met gala. beyonce voiced queen tara in the 3d cgi animated film, epic, released by 20th century fox on may 24, and recorded an original song for the film, "" rise up "", co - written with sia.",Rise Up
20,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","epic beyonce embarked on the mrs. carter show world tour on april 15 in belgrade, serbia ; the tour included 132 dates that ran through to march 2014. it became the most successful tour of her career and one of the most - successful tours of all time. in may, beyonce's cover of amy winehouse's "" back to black "" with andre 3000 on the great gatsby soundtrack was released. she was also honorary chair of the 2013 met gala. beyonce voiced queen tara in the 3d cgi animated film, epic, released by 20th century fox on may 24, and recorded an original song for the film, "" rise up "", co - written with sia.",Epic
